Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,outcome_id,subgroup_id,outcome_name,subgroup_name
Bleijenberg 2016,Number of hospital admissions IG2: mean 0.27 hospital admissions (95 % CI 0.24 to 0.31) CG: mean 0.33 hospital admissions (95% CI 0.29 to 0.39) General practice out‐of‐hours consultations IG2: mean 0.96 consultations (95% CI 0.78 to 1.19) CG: mean 0.98 consultations (95% CI 0.81 to 1.17) Number of emergency department visits IG2: mean 0.27 emergency department visits (95% CI 0.24 to 0.31) CG: mean 0.33 emergency department visits (95% CI 0.29 to 0.39) Number of consultations in general practice and home visits IG2: mean 9.34 consultations and home visits (95% CI 8.17 to 10.68) CG: mean 7.12 consultations and home visits (95% CI 6.00 to 8.46),Number of participants at baseline: intervention group (not analysed in this review): 790; intervention group 2 (IG2): 1446; control group (CG): 856. Follow‐up: 12 months CI: confidence interval.,,,Case management compared with usual care for change in health and social care utilisation,12,Bleijenberg,,,
Dalby 2000,"Service utilisation – visits to family physician IG: mean 5.2 visits to family physician (SD 4.5) CG: mean 4.0 visits to family physician (SD 3.6) MD 1.2 visits to family physician (95% CI −0.33, 2.73) Service utilisation – visits to specialist IG: mean 1.8 visits to specialist (SD 2.1) CG: mean 1.7 visits to specialist (SD 3.3) MD 0.1 visits to specialist (95% CI −0.92 to 1.12) Service utilisation – visits to emergency department IG: mean 0.4 visits to emergency department (SD 0.6) CG: mean 0.5 visits to emergency department (SD 1.0) MD 0.1 visits to emergency department (95% CI −0.20 to 0.40) Service utilisation – hospital admissions (overnight) IG: mean 0.4 hospital admissions (SD 0.7) CG: mean 0.3 hospital admissions (SD 0.8) MD 0.1 hospital admissions (95% CI −0.18 to 0.38) Service utilisation – length of stay in hospital (days) IG: mean 18.8 days (SD 31.9) CG: mean 10.5 days (SD 10.7) MD 8.3 days (95% CI −0.74 to 17.34) Service utilisation – outpatient procedures IG: mean 0.04 outpatient procedures (SD 0.2) CG: mean 0.01 outpatient procedures (SD 0.1) MD 0.03 outpatient procedures (95% CI −0.03 to 0.09)",Number of participants at baseline: intervention group (IG): 73; control group (CG): 69. Follow‐up: 14 months. CI: confidence interval; MD: mean difference; SD: standard deviation.,,,Case management compared with usual care for change in health and social care utilisation,12,Dalby,,,
Eklund 2013,Number of patients with at least one hospital admission IG: 52/85; CG: 46/76 Number of patients with at least one home visit (physician) (primary outcome) IG: 25/85; CG: 16/76 Number of patients with at least one visit to an outpatient clinic (nurse) (primary outcome) IG: 71/85; CG: 63/76 Number of patients with at least one home visit (nurse) (primary outcome) IG: 14/85; CG: 10/76,Number of participants at baseline: intervention group (IG): 89; control group (CG): 92. Follow‐up: 12 months.,,,Case management compared with usual care for change in health and social care utilisation,12,Eklund,,,
Gagnon 1999,Mean number of hospitalisations IG: mean 0.5 hospitalisations (SD 0.8) CG: mean 0.4 hospitalisations (SD 0.7) MD 0.1 hospitalisations (95% CI −0.04 to 0.24) Mean hospital length of stay (days) IG: mean 13.0 days (SD 20.7) CG: mean 11.9 days (SD 13.1) MD 1.1 days (95% CI −4.70 to 6.90) Mean number of emergency department admissions IG: mean 1.2 emergency department admissions (SD 2.0) CG: mean 0.9 emergency department admissions (SD 1.2) MD 0.3 emergency department admissions (95% CI −0.01 to 0.61),Number of participants at baseline: intervention group (IG): 212; control group (CG): 215. Follow‐up: 10 months. CI: confidence interval; MD: mean difference; SD: standard deviation.,,,Case management compared with usual care for change in health and social care utilisation,12,Gagnon,,,
Kono 2012,Hospital admissions IG: 7/161; CG: 6/162,Number of participants at baseline: intervention group (IG): 161; control group (CG): 162. Follow‐up: 24 months,,,Case management compared with usual care for change in health and social care utilisation,12,Kono,,,
Kono 2016,Hospital admissions IG: 9/171; CG: 9/172,Number of participants at baseline: intervention group (IG): 179; control group (CG): 181. Follow‐up: between 12 and 24 months.,,,Case management compared with usual care for change in health and social care utilisation,12,Kono,,,
Leung 2004,Total number of acute hospital bed‐days IG: mean 9.6 days (SD 12.2) CG: mean 10.7 days (SD 14.8) MD 1.1 days (95% CI −4.53 to 6.73) Total number of rehabilitation hospital bed‐days IG: mean 8.3 days (SD 15.1) CG: mean 18.5 days (SD 51.1) MD 10.2 days (95% CI −5.56 to 25.96 Total number of hospital bed‐days IG: mean 18.0 days (SD 22.6) CG: mean 29.1 days (SD 60.0) MD 11.1 days (95% CI −7.84 to 30.01) Total episodes of unplanned hospital admissions IG: mean 0.3 unplanned hospital admissions (SD 0.6) CG: mean 0.4 unplanned hospital admissions (SD 1.4) MD 0.1 unplanned hospital admissions (95% CI −0.35 to 0.55) Total episodes of hospital admission IG: mean 2.3 hospital admissions (SD 2.5) CG: mean 2.7 hospital admissions (SD 4.0) MD 0.4 hospital admissions (95% CI −0.99 to 1.79) Total number of attendances at emergency room IG: mean 0.3 attendances at emergency room (SD 0.5) CG: mean 0.8 attendances at emergency room (SD 1.5) MD 0.5 attendances at emergency room (95% CI 0.03 to 0.97) Total number of attendances at outpatient department IG: mean 8.3 attendances at outpatient department (SD 10.1) CG: mean 6.9 attendances at outpatient department (SD 8.1) MD 1.4 attendances at outpatient department (95% CI −2.38 to 5.18) Total number of attendances at geriatric day hospital IG: mean 5.0 attendances at geriatric day hospital (SD 9.3) CG: mean 1.5 attendances at geriatric day hospital (SD 4.8) MD 3.5 attendances at geriatric day hospital (95% CI 0.45 to 6.55) Total number of home visits by community nurse IG: mean 24.8 home visits (SD 53.3) CG: mean 7.5 home visits (SD 21.3) MD 17.3 home visits (95% CI 0.62 to 33.98),Number of participants at baseline: intervention group (IG): 45; control group (CG): 47. Follow‐up: 12 months. CI: confidence interval; MD: mean difference; SD: standard deviation.,,,Case management compared with usual care for change in health and social care utilisation,12,Leung,,,
Melis 2008,"Total number of hospital stays IG: mean 4.0 hospital stays (SD 14.0); CG: mean 6.0 hospital stays (SD 16.0) MD 2.0 hospital stays (95% CI −3.33, to7.33) Physician care: number of health care units used per patient IG: mean 6.4 health care units (SD 8.2); CG: mean 10.7 health care units (SD 8.9) MD 4.3 health care units (95% CI 1.55 to 7.05)",Number of participants at baseline: intervention group (IG): 88; control group (CG): 67 (sample size re‐analysed for cluster design). Follow‐up. 6 months. CI: confidence interval; MD: mean difference; SD: standard deviation.,,,Case management compared with usual care for change in health and social care utilisation,12,Melis,,,
Metzelthin 2013,Number of participants receiving outpatient medical services IG: 75/81; CG 62/71 RR 1.06 (95% CI 0.95 to 1.18) Number of participants receiving primary care: General practitioner IG: 71/71; CG: 63/63 RR 1.00 (95% CI 0.97 to 1.03) Practice nurse IG: 70/71; CG: 18/63 RR 3.45 (95% CI 2.33 to 5.10) Occupational therapist IG: 22/71; CG: 4/63 RR 4.88 (95% CI 1.78 to 13.40) Physiotherapist IG: 46/71; CG: 37/63 RR 1.10 (95% CI 0.84 to 1.44),Number of participants at baseline: intervention group (IG): 193; control group (CG): 157. Follow‐up: 12 months. CI: confidence interval; RR. risk ratio.,,,Case management compared with usual care for change in health and social care utilisation,12,Metzelthin,,,
Sandberg 2015,Inpatient care: Total number of hospital stays IG: mean 0.49 hospital stays (SD 0.81) CG: mean 0.48 hospital stays (SD 0.84) MD 0.01 hospital stays (95% CI −0.25 to 0.27) Total length of stay IG: mean 4.6 days (SD 15.4) CG: mean 4.1 days (SD 11.7) MD 0.5 days (95% CI −3.90 to 4.90) Outpatient care: Total number of visits IG: mean 0.4 visits (SD 0.8) CG: mean 0.8 visits (SD 1.6) MD 0.4 visits (95% CI 0.00 to 0.80) Total number of contacts with physicians in outpatient care IG: mean 8.8 contacts (SD 5.6) CG: mean 10.2 contacts (SD 8.2) MD 1.4 contacts (95% CI −0.83 to 3.63),Number of participants at baseline: intervention group (IG): 80; control group (CG): 73. Follow‐up: 12 months. CI: confidence interval; MD: mean difference; SD: standard deviation.,,,Case management compared with usual care for change in health and social care utilisation,12,Sandberg,,,
Suijker 2016,"Hospitalisation 6 months: IG: IR 0.10 (95% CI 0.08 to 0.11); CG: IR 0.11 (95% CI 0.09 to 0.13) 12 months: IG: IR 0.10 (95% CI 0.08 to 0.12); CG: IR 0.11 (95% CI 0.09 to 0.13) 18 months: IG: IR 0.09 (95% CI 0.08 to 0.11); CG: IR 0.10 (95% CI 0.09 to 0.12) 24 months: IG: IR 0.10 (95% CI 0.08 to 0.12); CG: IR 0.11 (95% CI 0.09 to 0.14) Hospitalisation (estimated mean scores adjusted for baseline outcome) 6 months: IG: IR 0.10 (95% CI 0.08 to 0.12); CG: IR 0.11 (95% CI 0.09 to 0.14) 12 months: IG: IR 0.11 (95% CI 0.09 to 0.13); CG: IR 0.12 (95% CI 0.10 to 0.14) 18 months: IG: IR 0.10 (95% CI 0.08 to 0.12); CG: IR 0.12 (95% CI 0.09 to 0.14) 24 months: IG: IR 0.11 (95% CI 0.09 to 0.13); CG: IR 0.13 (95% CI 0.10 to 0.15) Hospitalisation (estimated mean scores adjusted for baseline age, sex, socio‐economic status, level of education, and modified Katz‐ADL index score) 6 months: IG: IR 0.11 (95% CI 0.09 to 0.13); CG: IR 0.12 (95% CI 0.10 to 0.14) 12 months: IG: IR 0.11 (95% CI 0.09 to 0.13); CG: IR 0.12 (95% CI 0.10 to 0.14) 18 months: IG: IR 0.11 (95% CI 0.09 to 0.13); CG: IR 0.12 (95% CI 0.10 to 0.14) 24 months: IG: IR 0.12 (95% CI 0.09 to 0.14); CG: IR 0.13 (95% CI 0.10 to 0.15) After‐hours GP care 6 months: IG: IR 0.04 (95% CI 0.03 to 0.05); CG: IR 0.07 (95% CI 0.05 to 0.09) 12 months: IG: IR 0.05 (95% CI 0.03 to 0.06); CG: IR 0.06 (95% CI 0.04 to 0.08) 18 months: IG: IR 0.04 (95% CI 0.03 to 0.06); CG: IR 0.06 (95% CI 0.04 to 0.08) 24 months: IG: IR 0.04 (95% CI 0.03 to 0.05); CG: IR 0.07 (95% CI 0.05 to 0.09) After‐hours GP care (estimated mean scores adjusted for baseline outcome) 6 months: IG: IR 0.04 (95% CI 0.03 to 0.05); CG: IR 0.08 (95% CI 0.05 to 0.10) 12 months: IG: IR 0.06 (95% CI 0.04 to 0.08); CG: IR 0.06 (95% CI 0.04 to 0.09) 18 months: IG: IR 0.05 (95% CI 0.03 to 0.06); CG: IR 0.07 (95% CI 0.04 to 0.09) 24 months: IG: IR 0.07 (95% CI 0.05 to 0.10); CG: IR 0.07 (95% CI 0.05 to 0.10) After‐hours GP care (estimated mean scores adjusted for baseline age, sex, socio‐economic status, level of education, and modified Katz‐ADL index score) 6 months: IG: IR 0.04 (95% CI 0.03 to 0.06); CG: IR 0.08 (95% CI 0.06 to 0.11) 12 months: IG: IR 0.06 (95% CI 0.04 to 0.08); CG: IR 0.06 (95% CI 0.04 to 0.08) 18 months: IG: IR 0.05 (95% CI 0.03 to 0.07); CG: IR 0.07 (95% CI 0.05 to 0.09) 24 months: IG: IR 0.08 (95% CI 0.05 to 0.10); CG: IR 0.08 (95% CI 0.05 to 0.10)","Number of participants at baseline: intervention group (IG): 1209; control group (CG): 1074. Follow‐up: 6, 12, 18 and 24 months. ADLs: activities of daily living; CI: confidence interval; GP: general practitioner; IR: incidence rate",,,Case management compared with usual care for change in health and social care utilisation,12,Suijker,,,
van Hout 2010,"≥ 1 hospital admission IG: 163/331; CG: 141/320 ≥ 1 acute hospital visit IG: 128/331; CG: 101/320 OR 1.6 (95% CI 1.04 to 2.4); P = 0.03 ""a higher risk on acute hospital visits was found among persons assigned to the intervention group who had two or more chronic diseases""",Number of participants at baseline: intervention group (IG): 331; control group (CG): 320. Follow‐up: 18 months CI: confidence interval; OR: odds ratio.,,,Case management compared with usual care for change in health and social care utilisation,12,van,,,
6.3 Change in social care utilisation between 6 and 12 months' follow‐up Show forest plot,0,,Other data,No numeric data,Case management compared with usual care for change in health and social care utilisation,12,6,3,,Change in social care utilisation between 6 and 12 months' follow‐up Show forest plot
Change in social care utilisation between 6 and 12 months' follow‐up,Change in social care utilisation between 6 and 12 months' follow‐up,Change in social care utilisation between 6 and 12 months' follow‐up,,,Case management compared with usual care for change in health and social care utilisation,12,Change,,in social care utilisation between 6 and 12 m,
Study,Results,Notes,,,Case management compared with usual care for change in health and social care utilisation,12,Study,,,
Bernabei 1998,Number of meals received IG: mean 54.0 meals received (SD 12.0) CG: mean 39.0 meals received (SD 10.0) MD 15.0 meals received (95% CI 11.91 to 18.09),Number of participants at baseline: intervention group (IG): 99; control group (CG): 100. Follow‐up: 12 months. CI: confidence interval; MD: mean difference; SD: standard deviation.,,,Case management compared with usual care for change in health and social care utilisation,12,Bernabei,,,
Melis 2008,Hours of home care IG: mean 88.6 hours (SD 172.4) CG: mean 63.4 hours (SD 77.7) MD 25.2 hours (95% CI −25.765 to 76.17) Days spent at day care IG: mean 6.0 days (SD 21.0) CG: mean 3.0 days (SD 10.0) MD 3.0 days (95% CI −3.26 to 9.26) Number of days when participants received a meal IG: mean 44.0 days (SD 66.0) CG: mean 33.0 days (SD 63.0) MD 11.0 days (95% CI −12.28 to 34.28),Number of participants at baseline: intervention group (IG): 88; control group (CG): 67. Follow‐up: 6 months. CI: confidence interval; MD: mean difference; SD: standard deviation.,,,Case management compared with usual care for change in health and social care utilisation,12,Melis,,,
Metzelthin 2013,Number of participants receiving professional home care IG: 42/73; CG: 37/65 RR 1.01 (95% CI 0.76 to 1.35) Number of participants receiving informal care IG: 24/84; CG: 21/74 RR 1.01 (95% CI 0.61 to 1.65) Number of participants receiving in‐home modifications IG: 46/75; CG: 40/66 RR 1.01 (95% CI 0.78 to 1.32),Number of participants at baseline: intervention group (IG): 193; control group (CG): 153. Numbers refer to approximate analysis for cluster randomised trials; sample size varies according to number of respondents per each type of service. Follow‐up: 12 months. CI: confidence interval; RR: risk ratio.,,,Case management compared with usual care for change in health and social care utilisation,12,Metzelthin,,,
Sandberg 2015,Use of municipal home services: Hours of help with IADLs IG: mean 20.9 hours (SD 48.7) CG: mean 14.9 hours (SD 29.2) MD 6.0 hours (95% CI −6.98 to 18.98) Hours of help with PADLs IG: mean 13.7 hours (SD 36.3) CG: mean 15.0 hours (SD 52.7) MD 1.3 hours (95% CI −13.05 to 15.65) Hours of help at night IG: mean 2.7 hours (SD 14.6) CG: mean 1.9 hours (SD 7.9) MD: 0.8 hours (95% CI −3.00 to 4.60) Use of municipal home care: Hours of municipal home care (day) IG: mean 15.3 hours (SD 55.8) CG: mean 10.4 hours (SD 34.4) MD 4.9 hours (95% CI −10.08 to 19.88) Hours of municipal home care (evening) IG: mean 1.1 hours (SD 6.8) CG: mean 3.1 hours (SD 11.0) MD 2.0 hours (95% CI −0.89 to 4.89) Hours of municipal home care (night) IG: mean 0.3 hours (SD 2.9) CG: mean 0.0 hours (SD 0.0) MD 0.3 hours (95% CI −0.37 to 0.97) Use of informal care: Hours of help with IADLs IG: mean 200.0 hours (SD 324.0) CG: mean 333.0 hours (SD 445.0) MD 133.0 hours (95% CI 9.41 to 256.59) Hours of help with PADLs IG: mean 23.0 hours (SD 128.0) CG: mean 64.0 hours (SD 390.0) MD 41.0 hours (95% CI −50.07 to 132.07),Number of participants at baseline: intervention group (IG): 80; control group (CG): 73. Follow‐up: 12 months. CI: confidence interval; IADLs; instrumental activities of daily living; MD: mean difference; PADLs: personal activities of daily living; SD: standard deviation.,,,Case management compared with usual care for change in health and social care utilisation,12,Sandberg,,,
"7.1 Change in health service costs, intervention, and other costs between 6 and 36 months' follow‐up Show forest plot",0,,Other data,No numeric data,Case management compared with usual care for change in costs,15,7,1,,"Change in health service costs, intervention, and other costs between 6 and 36 months' follow‐up Show forest plot"
"Change in health service costs, intervention, and other costs between 6 and 36 months' follow‐up","Change in health service costs, intervention, and other costs between 6 and 36 months' follow‐up","Change in health service costs, intervention, and other costs between 6 and 36 months' follow‐up",,,Case management compared with usual care for change in costs,15,Change,,"in health service costs, intervention, and other costs between 6 and 36 m",
Study,Results,Notes,,,Case management compared with usual care for change in costs,15,Study,,,
Applebaum 2002,Physician services costs: IG: USD 160; CG: USD 310 Home health services: IG: USD 74; CG: USD 261 Little or no difference between groups for other costs.,"Number of participants at baseline: intervention group (IG): 156; control group (CG): 152. Other costs: hospice, medical equipment expenditures, Medicare programme, beneficiary payments. Follow‐up: 18 months.",,,Case management compared with usual care for change in costs,15,Applebaum,,,
Bernabei 1998,Community health service costs IG: GBP 744; CG: GBP 919 Difference −19% Nursing home costs IG: GBP 644; CG: GBP 1244 Difference −48% Hospital expenses IG: GBP 1763; CG: GBP 2688 Difference −34%,"Number of participants at baseline: intervention group (IG): 99; control group (CG): 100. Costs calculated using average costs from UK national official statistics (1998); takes into account costs accrued by adding the case managers. Difference between groups as reported by trial authors, insufficient data provided for reanalysis. Follow‐up: 12 months",,,Case management compared with usual care for change in costs,15,Bernabei,,,
Béland 2006,"Cost of care, % increase, IG group only Home healthcare: 64% (95% CI 46 to 83) P < 0.05 Home social care: −22% (95% CI −50 to 7) Inpatient care: −5% (95% CI −23 to 13) ED visits: −10% (95% CI −26 to 7) Alternate level of care: 17% (95% CI −28 to 71) Skilled nursing homes: 3% (95% CI −24 to 47) Mean community care costs IG: mean USD 12,695; CG: mean USD 9301 Difference USD 3394 Institutional care costs IG: USD 23,544; CG: USD 27,314 Difference USD −3,770 Total costs IG: USD 36,240; CG USD 36,614 Difference USD −374",Number of participants at baseline: intervention group (IG): 656; control group (CG): 653. Follow‐up: 12 months CI: confidence interval.,,,Case management compared with usual care for change in costs,15,Béland,,,
Cameron 2013,"Total cost per person IG: mean AUD 25,030 (SD 29,827) CG: mean AUD 22,885 (SD 32,354) MD AUD 2145 (95% CI −6204.94 to 10,494.94)",Number of participants at baseline: intervention group (IG): 120; control group (CG): 121. Costs calculated using local or national costs. Follow‐up: 12 months. CI: confidence interval; MD: mean difference; SD: standard deviation.,,,Case management compared with usual care for change in costs,15,Cameron,,,
Hoogendijk 2016,Difference in costs USD 356 (95% CI −488 to 1134),Cost‐effectiveness analysis using multilevel regression models of intervention compared to usual care. Follow‐up: 24 months. CI: confidence interval.,,,Case management compared with usual care for change in costs,15,Hoogendijk,,,
Kono 2012,"Total healthcare costs IG: mean JPY 2,016,606 (SD 161,432) CG: mean JPY 2,287,450 (SD 200,535) MD JPY 270,844 (95% CI 226,379.49 to 315,308.51)","Number of participants at baseline: intervention group (IG): 161; control group (CG): 162. Costs calculated using records from prefecture‐ and municipality‐level health insurance plans (2007–2008). Analysis of log‐transformed data, as reported by the trial authors; insufficient data provided for reanalysis. Follow‐up: 24 months. CI: confidence interval; MD: mean difference; SD: standard deviation.",,,Case management compared with usual care for change in costs,15,Kono,,,
Kono 2016,"Total long‐term care service costs IG: mean JPY 3507 (SD 5400) CG: mean JPY 3562 JPY (SD 5,066) MD JPY 55.0 (95% CI −1122.35 to 1232.35)","Number of participants at baseline: intervention group (IG): 179; control group (CG): 181. Cost calculation not described; currency not described (referred to as ""credits""). Follow‐up: 36 months. CI: confidence interval; MD: mean difference; SD: standard deviation.",,,Case management compared with usual care for change in costs,15,Kono,,,
Leung 2004,IG: mean USD 155.30 (SD 167) CG: mean USD 139.0 (SD 135),Number of participants at baseline: intervention group (IG): 45; control group (CG): 47. Costs of informal care Follow‐up: 6 months,,,Case management compared with usual care for change in costs,15,Leung,,,
Markle‐Reid 2006,Total costs of all type of health and social services Little or no difference between groups (P = 0.98),Number of participants at baseline: intervention group (IG): 144; control group (CG): 144. Follow‐up: 6 months.,,,Case management compared with usual care for change in costs,15,Markle‐Reid,,,
Melis 2008,"Total care costs IG: mean EUR 9713 (SD 10,205) CG: mean EUR 8952 (SD 9757) MD EUR 761.0 (95% CI −2840.95 to 4362.95)","Number of participants at baseline: intervention group (IG): 85; control group (CG): 66. ""Costs calculated for unit of care, using the Dutch consumer price index figures (2005). Includes costs associated with healthcare services (e.g., hospitalisation, outpatient care), with the intervention, and other costs (e.g., meals on wheels)"". Follow‐up: 6 months. CI: confidence interval; MD: mean difference; SD: standard deviation.",,,Case management compared with usual care for change in costs,15,Melis,,,
Metzelthin 2013,"Total costs IG: mean EUR 26,503 (SD 27,273) CG: mean EUR 20,550 (SD 18,891) MD EUR 5953 (95% CI −633 to 12,538) Healthcare costs IG: mean EUR 17,664 (SD 18,277) CG: mean EUR 12,963 (SD 10,439) MD EUR 4701 (95% 540 to 8861)","Number of participants at baseline: intervention group (IG): 193; control group (CG): 153. Numbers refer to approximate analysis for cluster randomised trials. Total costs include healthcare costs (hospital, primary care, long‐term care, and prescribed medication), intervention costs (screening, training activities, and implementation), patient and family costs, informal care, and in‐home modifications. Calculated from healthcare registries and self‐report (2010). Follow‐up: 24 months. CI: confidence interval; MD: mean difference; SD: standard deviation.",,,Case management compared with usual care for change in costs,15,Metzelthin,,,
Sandberg 2015,"Total costs CG: mean EUR 21,920 (SD 32,936) CG: mean EUR 16,762 (SD 17,064) MD EUR 5158 (95% CI −3341.62 to 13,657.62)","Number of participants at baseline: intervention group (IG): 80; control group (CG): 73. Includes healthcare costs, costs associated with the intervention (collected from central records), municipal home care costs (calculated using self‐reported service use), intervention costs (case managers' salaries) and informal care (mix of self‐reported and central records) costs. Follow‐up: 12 months. CI: confidence interval; MD: mean difference; SD: standard deviation.",,,Case management compared with usual care for change in costs,15,Sandberg,,,
Spoorenberg 2018,"Total costs Frail group: IG: mean EUR 16,413 (SD 19,628) CG: mean EUR 12,261 (SD 14,428) MD EUR 4152 (95% CI 2373.47 to 5930.53) Complex care needs group: IG: mean EUR 24,622 (SD 24,376) CG: mean EUR 19,959 (SD 19,294) MD EUR 4663 (95% CI 2395.33 to 6930.67)","Number of participants at baseline: stratified into 3 strata: robust (854 participants; excluded from analysis due to not frail population); frail (237 participants); and complex care needs (365 participants). Costs were calculated based on health and social care usage, provided by three Dutch sources of reimbursement, as well as self‐reported usage of informal care (2012). Follow‐up: 12 months. CG: control group; CI: confidence interval; IG: intervention group; MD: mean difference; SD: standard deviation.",,,Case management compared with usual care for change in costs,15,Spoorenberg,,,
Suijker 2016,Total costs IG: mean EUR 7012 (SE 508) CG: mean EUR 5609 (SE 364),Number of participants at baseline: intervention group (IG): 1209; control group (CG): 1074. EuroQol Five‐Dimension Questionnaire (EQ‐5D) used to calculate quality‐adjusted life years (QALYs) and health care resource use. Follow‐up: 12 months. SE: standard error.,,,Case management compared with usual care for change in costs,15,Suijker,,,
8.1 Participant satisfaction with care between 6 and 12 months' follow‐up Show forest plot,0,,Other data,No numeric data,Case management compared with usual care for patient satisfaction with care,17,8,1,,Participant satisfaction with care between 6 and 12 months' follow‐up Show forest plot
Participant satisfaction with care between 6 and 12 months' follow‐up,Participant satisfaction with care between 6 and 12 months' follow‐up,Participant satisfaction with care between 6 and 12 months' follow‐up,,,Case management compared with usual care for patient satisfaction with care,17,Participant,,satisfaction with care between 6 and 12 m,
Study,Results,Notes,,,Case management compared with usual care for patient satisfaction with care,17,Study,,,
Applebaum 2002,Satisfaction with Medicare Care 6 months: IG: mean 17.50 points CG: mean 17.70 points 12 months: IG: mean 17.60 points CG: mean 17.60 points Satisfaction w/ESP (definition of 'ESP' not given by study investigators) 6 months: IG: mean 26.40 points CG: mean 27.00 points 12 months: IG: mean 26.50 points CG: mean 26.60 All non‐significant differences between groups.,"Number of participants at baseline: intervention group (IG): 156; control group (CG) 152. Instrument: based on ""summary measures from interviews"". Follow‐up: 6 and 12 months.",,,Case management compared with usual care for patient satisfaction with care,17,Applebaum,,,
Bleijenberg 2016,Satisfaction with care 6 months: IG2: mean 8.1 points (95% CI 8.0 to 8.1) CG: mean 8.02 points (95% CI 8.0 to 8.1) 12 months: IG2: mean 8.0 points (95% CI 7.9 to 8.1) CG: mean 7.9 points (95% CI 7.8 to 8.0) P = 0.05; corrected P = 0.29,Number of participants at baseline: intervention group 1 (not analysed in this review): 790; intervention group 2 (IG2): 1446; control group (CG) 856. Instrument: satisfaction with care (range 0–10) Follow‐up: 6 and 12 months. CI: confidence interval.,,,Case management compared with usual care for patient satisfaction with care,17,Bleijenberg,,,
Gagnon 1999,IG: mean 25.0 points (SD 5.2); CG: mean 23.9 points (SD 5.8) MD 1.1 points (95% CI −0.10 to 2.30),"Number of participants at baseline: intervention group (IG): 212; control group (CG) 215. Instrument: Client Satisfaction Questionnaire (CSQ‐8; scores range from 8–32, higher scores represent higher satisfaction with care). Follow‐up: 10 months CI: confidence interval; MD: mean difference; SD: standard deviation.",,,Case management compared with usual care for patient satisfaction with care,17,Gagnon,,,
